Time,Temp,B7,B8,B9,B10,B11,C7,C8,C9,C10,C11,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11
2:39:10,37,1.052,0.467,0.123,0.139,0.598,0.107,0.085,0.084,0.085,0.083,0.778,0.276,0.084,0.085,0.417,0.195,0.191,0.176,0.17,0.172,0.161,0.143,0.18,0.103,0.114,0.095,0.096,0.092,0.091,0.09,0.084,0.086,0.085,0.084,0.084,0.106,0.096,0.098,0.095,0.092,0.083,0.085,0.084,0.085,0.084
2:49:10,37.1,1.063,0.472,0.126,0.143,0.602,0.107,0.084,0.084,0.085,0.083,0.806,0.285,0.084,0.086,0.428,0.203,0.203,0.19,0.18,0.18,0.114,0.172,0.181,0.104,0.156,0.097,0.098,0.093,0.093,0.091,0.084,0.086,0.085,0.084,0.084,0.109,0.098,0.1,0.096,0.093,0.083,0.085,0.084,0.085,0.084
2:59:10,37,1.067,0.475,0.129,0.147,0.607,0.124,0.084,0.084,0.085,0.083,0.835,0.293,0.084,0.086,0.438,0.218,0.217,0.203,0.19,0.191,0.148,0.173,0.111,0.102,0.116,0.101,0.101,0.094,0.094,0.092,0.084,0.086,0.085,0.084,0.084,0.112,0.099,0.102,0.097,0.092,0.083,0.085,0.084,0.084,0.084
3:09:10,37.1,1.069,0.479,0.132,0.151,0.61,0.134,0.084,0.084,0.085,0.083,0.865,0.299,0.084,0.086,0.449,0.243,0.236,0.22,0.204,0.204,0.196,0.17,0.111,0.112,0.107,0.105,0.104,0.096,0.096,0.094,0.084,0.086,0.085,0.084,0.084,0.116,0.101,0.105,0.099,0.092,0.083,0.085,0.084,0.084,0.084
3:19:10,37,1.069,0.482,0.135,0.155,0.614,0.115,0.084,0.084,0.085,0.083,0.89,0.306,0.084,0.086,0.455,0.256,0.255,0.236,0.219,0.219,0.177,0.106,0.184,0.113,0.104,0.11,0.109,0.098,0.098,0.095,0.084,0.086,0.085,0.084,0.084,0.121,0.103,0.108,0.101,0.092,0.083,0.085,0.084,0.084,0.084
3:29:10,37,1.07,0.488,0.138,0.159,0.618,0.11,0.085,0.084,0.086,0.083,0.912,0.312,0.084,0.086,0.462,0.271,0.277,0.259,0.236,0.237,0.159,0.108,0.195,0.104,0.106,0.117,0.116,0.1,0.1,0.097,0.084,0.086,0.085,0.084,0.084,0.126,0.106,0.112,0.103,0.093,0.083,0.085,0.084,0.084,0.084
3:39:10,37.1,1.073,0.49,0.141,0.163,0.62,0.109,0.084,0.084,0.086,0.083,0.932,0.32,0.084,0.086,0.467,0.29,0.296,0.273,0.258,0.257,0.122,0.103,0.19,0.1,0.104,0.126,0.124,0.103,0.103,0.099,0.084,0.086,0.085,0.084,0.084,0.133,0.109,0.117,0.106,0.093,0.083,0.085,0.084,0.084,0.084
3:49:10,37,1.077,0.495,0.144,0.167,0.624,0.129,0.084,0.084,0.085,0.083,0.95,0.326,0.084,0.086,0.475,0.316,0.321,0.298,0.278,0.278,0.113,0.102,0.15,0.1,0.11,0.135,0.134,0.106,0.107,0.101,0.084,0.086,0.085,0.084,0.084,0.141,0.113,0.123,0.109,0.093,0.083,0.085,0.084,0.084,0.084
3:59:10,37,1.08,0.5,0.147,0.172,0.627,0.131,0.085,0.084,0.086,0.083,0.965,0.33,0.085,0.087,0.481,0.345,0.35,0.327,0.303,0.3,0.104,0.103,0.149,0.102,0.107,0.147,0.145,0.11,0.112,0.105,0.084,0.086,0.085,0.084,0.084,0.15,0.118,0.131,0.113,0.093,0.083,0.085,0.084,0.084,0.084
4:09:10,37.1,1.085,0.502,0.15,0.175,0.629,0.11,0.085,0.084,0.086,0.083,0.986,0.332,0.085,0.088,0.484,0.367,0.376,0.349,0.329,0.324,0.1,0.11,0.115,0.099,0.102,0.16,0.159,0.116,0.119,0.109,0.084,0.086,0.085,0.084,0.084,0.16,0.124,0.139,0.118,0.095,0.083,0.085,0.084,0.085,0.084
4:19:10,37,1.088,0.507,0.153,0.18,0.629,0.109,0.085,0.084,0.085,0.083,0.997,0.34,0.085,0.087,0.491,0.396,0.403,0.382,0.356,0.35,0.103,0.101,0.121,0.109,0.103,0.174,0.174,0.123,0.127,0.114,0.084,0.086,0.085,0.084,0.084,0.172,0.131,0.15,0.124,0.096,0.083,0.085,0.084,0.085,0.085
4:29:10,37,1.091,0.511,0.156,0.184,0.629,0.114,0.085,0.084,0.086,0.083,1.005,0.346,0.085,0.086,0.496,0.418,0.433,0.407,0.384,0.377,0.119,0.103,0.159,0.108,0.103,0.19,0.19,0.132,0.136,0.121,0.084,0.086,0.085,0.084,0.084,0.185,0.139,0.162,0.13,0.097,0.083,0.085,0.084,0.084,0.085
4:39:10,37,1.096,0.518,0.158,0.189,0.63,0.117,0.085,0.084,0.086,0.083,1.028,0.351,0.085,0.087,0.502,0.444,0.458,0.436,0.412,0.405,0.122,0.102,0.116,0.107,0.102,0.207,0.207,0.142,0.147,0.13,0.084,0.086,0.085,0.084,0.084,0.2,0.149,0.175,0.139,0.097,0.083,0.085,0.084,0.085,0.084
4:49:10,37.1,1.1,0.52,0.161,0.193,0.63,0.128,0.085,0.084,0.086,0.083,1.036,0.354,0.085,0.088,0.507,0.476,0.482,0.46,0.441,0.434,0.101,0.144,0.148,0.102,0.118,0.225,0.227,0.154,0.16,0.14,0.084,0.086,0.085,0.084,0.084,0.217,0.161,0.19,0.148,0.098,0.083,0.085,0.084,0.085,0.084
4:59:10,37,1.105,0.519,0.163,0.197,0.631,0.111,0.085,0.084,0.086,0.083,1.036,0.358,0.085,0.088,0.512,0.503,0.516,0.486,0.47,0.459,0.099,0.101,0.147,0.105,0.102,0.243,0.247,0.168,0.174,0.152,0.084,0.086,0.085,0.084,0.084,0.235,0.174,0.207,0.16,0.099,0.083,0.085,0.084,0.085,0.084
5:09:10,37,1.109,0.52,0.166,0.201,0.631,0.113,0.085,0.084,0.086,0.083,1.032,0.36,0.085,0.089,0.517,0.537,0.543,0.52,0.497,0.485,0.107,0.102,0.119,0.1,0.101,0.259,0.266,0.183,0.19,0.165,0.084,0.086,0.085,0.084,0.084,0.256,0.189,0.227,0.172,0.1,0.083,0.085,0.084,0.085,0.085
5:19:10,37,1.112,0.522,0.168,0.205,0.631,0.11,0.085,0.084,0.086,0.083,1.024,0.366,0.085,0.09,0.52,0.567,0.569,0.55,0.522,0.516,0.104,0.104,0.14,0.099,0.102,0.266,0.273,0.2,0.206,0.18,0.084,0.086,0.085,0.084,0.084,0.276,0.206,0.248,0.187,0.1,0.083,0.085,0.084,0.084,0.084
5:29:10,37.1,1.119,0.523,0.171,0.209,0.632,0.107,0.085,0.084,0.086,0.083,1.021,0.368,0.086,0.091,0.525,0.587,0.601,0.58,0.547,0.548,0.116,0.102,0.137,0.105,0.101,0.283,0.295,0.218,0.224,0.196,0.084,0.086,0.085,0.084,0.084,0.299,0.225,0.27,0.204,0.101,0.083,0.085,0.085,0.085,0.085
5:39:10,37,1.122,0.524,0.173,0.213,0.632,0.111,0.085,0.084,0.086,0.083,1.015,0.373,0.086,0.092,0.529,0.629,0.618,0.604,0.57,0.576,0.121,0.102,0.116,0.099,0.101,0.296,0.31,0.237,0.241,0.213,0.084,0.086,0.085,0.084,0.084,0.319,0.246,0.293,0.223,0.102,0.083,0.085,0.084,0.084,0.084
5:49:10,37,1.127,0.524,0.176,0.215,0.632,0.111,0.085,0.084,0.086,0.083,1.01,0.378,0.086,0.094,0.533,0.658,0.644,0.633,0.594,0.601,0.11,0.103,0.12,0.106,0.1,0.309,0.326,0.256,0.258,0.231,0.084,0.086,0.085,0.084,0.084,0.338,0.267,0.317,0.243,0.103,0.083,0.085,0.084,0.085,0.085
5:59:10,37.1,1.132,0.525,0.177,0.22,0.634,0.105,0.085,0.084,0.086,0.083,1.006,0.382,0.086,0.095,0.538,0.655,0.666,0.652,0.614,0.627,0.102,0.101,0.122,0.098,0.101,0.32,0.34,0.261,0.264,0.25,0.084,0.086,0.085,0.084,0.084,0.357,0.289,0.336,0.264,0.105,0.083,0.085,0.084,0.085,0.085
6:09:10,37,1.137,0.527,0.179,0.22,0.634,0.134,0.085,0.084,0.086,0.083,1.003,0.379,0.086,0.096,0.542,0.682,0.689,0.678,0.634,0.655,0.116,0.101,0.118,0.097,0.1,0.331,0.354,0.281,0.283,0.267,0.084,0.086,0.085,0.084,0.084,0.374,0.31,0.353,0.286,0.106,0.083,0.085,0.084,0.085,0.085
6:19:10,37,1.138,0.53,0.181,0.227,0.634,0.142,0.085,0.084,0.086,0.083,1.002,0.383,0.087,0.098,0.546,0.697,0.715,0.701,0.654,0.681,0.103,0.103,0.113,0.098,0.1,0.342,0.369,0.296,0.295,0.273,0.084,0.086,0.085,0.084,0.084,0.39,0.329,0.371,0.308,0.108,0.083,0.085,0.085,0.085,0.085
6:29:10,37,1.142,0.531,0.184,0.225,0.635,0.112,0.085,0.084,0.086,0.083,1.004,0.385,0.087,0.099,0.549,0.718,0.738,0.727,0.674,0.707,0.113,0.101,0.112,0.1,0.1,0.352,0.381,0.311,0.306,0.291,0.084,0.086,0.085,0.084,0.084,0.404,0.348,0.387,0.329,0.11,0.083,0.085,0.085,0.085,0.085
6:39:10,37.1,1.146,0.533,0.184,0.231,0.636,0.118,0.085,0.084,0.086,0.083,1.013,0.39,0.087,0.101,0.554,0.743,0.761,0.752,0.693,0.731,0.111,0.102,0.114,0.098,0.1,0.361,0.393,0.323,0.318,0.304,0.084,0.086,0.085,0.084,0.084,0.418,0.364,0.403,0.349,0.112,0.083,0.085,0.085,0.085,0.085
6:49:10,37,1.148,0.536,0.19,0.23,0.637,0.111,0.085,0.084,0.086,0.083,1.014,0.391,0.088,0.103,0.559,0.767,0.783,0.783,0.71,0.758,0.11,0.102,0.114,0.098,0.099,0.368,0.405,0.336,0.329,0.316,0.084,0.086,0.085,0.084,0.084,0.434,0.38,0.419,0.365,0.115,0.083,0.085,0.085,0.085,0.085
6:59:10,37,1.15,0.539,0.187,0.232,0.637,0.134,0.085,0.084,0.086,0.083,1.016,0.396,0.088,0.105,0.563,0.786,0.807,0.811,0.729,0.782,0.105,0.101,0.112,0.097,0.099,0.377,0.412,0.347,0.338,0.328,0.084,0.086,0.085,0.084,0.084,0.447,0.395,0.436,0.381,0.119,0.083,0.085,0.084,0.085,0.085
7:09:10,37,1.153,0.541,0.19,0.238,0.638,0.108,0.085,0.084,0.086,0.083,1.017,0.397,0.089,0.107,0.568,0.81,0.827,0.836,0.747,0.809,0.108,0.1,0.112,0.099,0.099,0.382,0.422,0.358,0.348,0.339,0.084,0.086,0.085,0.084,0.084,0.459,0.409,0.45,0.395,0.125,0.083,0.085,0.084,0.085,0.085
7:19:10,37,1.157,0.541,0.194,0.235,0.638,0.133,0.085,0.084,0.086,0.083,1.023,0.399,0.089,0.109,0.573,0.84,0.857,0.865,0.766,0.836,0.101,0.1,0.114,0.102,0.101,0.391,0.434,0.367,0.357,0.349,0.084,0.086,0.085,0.084,0.084,0.473,0.424,0.465,0.409,0.133,0.083,0.085,0.085,0.085,0.085
7:29:10,37,1.158,0.541,0.191,0.237,0.639,0.116,0.085,0.084,0.086,0.083,1.021,0.4,0.09,0.112,0.577,0.859,0.876,0.89,0.78,0.861,0.106,0.101,0.127,0.1,0.098,0.4,0.442,0.377,0.365,0.359,0.084,0.086,0.085,0.084,0.084,0.484,0.438,0.479,0.426,0.141,0.083,0.085,0.084,0.085,0.085
7:39:10,37.1,1.159,0.544,0.195,0.242,0.639,0.105,0.085,0.084,0.086,0.083,1.022,0.4,0.091,0.115,0.581,0.888,0.902,0.916,0.799,0.886,0.11,0.1,0.135,0.098,0.1,0.408,0.451,0.386,0.374,0.368,0.084,0.086,0.085,0.085,0.084,0.494,0.452,0.492,0.44,0.152,0.083,0.085,0.085,0.085,0.085
7:49:10,37.1,1.159,0.547,0.196,0.24,0.641,0.109,0.085,0.084,0.086,0.083,1.023,0.402,0.091,0.118,0.585,0.918,0.933,0.948,0.813,0.912,0.099,0.099,0.118,0.099,0.098,0.416,0.458,0.389,0.377,0.378,0.084,0.086,0.085,0.085,0.084,0.501,0.466,0.5,0.452,0.164,0.083,0.085,0.084,0.085,0.085
7:59:10,37.1,1.162,0.548,0.195,0.244,0.64,0.109,0.085,0.084,0.086,0.083,1.026,0.405,0.092,0.121,0.589,0.945,0.959,0.982,0.824,0.942,0.097,0.1,0.113,0.098,0.098,0.422,0.464,0.4,0.385,0.388,0.084,0.086,0.085,0.085,0.084,0.51,0.476,0.512,0.466,0.18,0.083,0.085,0.085,0.085,0.085
8:09:10,37,1.162,0.549,0.198,0.25,0.654,0.108,0.085,0.084,0.086,0.083,1.029,0.407,0.093,0.124,0.593,0.969,0.982,1.01,0.839,0.968,0.098,0.1,0.11,0.098,0.098,0.427,0.471,0.41,0.393,0.393,0.084,0.086,0.085,0.084,0.084,0.519,0.486,0.521,0.475,0.196,0.083,0.085,0.085,0.085,0.085
8:19:10,37,1.163,0.55,0.199,0.249,0.657,0.108,0.085,0.084,0.086,0.083,1.032,0.412,0.093,0.128,0.596,0.988,1.004,1.037,0.856,0.989,0.102,0.099,0.111,0.099,0.098,0.433,0.477,0.418,0.4,0.4,0.084,0.086,0.085,0.085,0.084,0.526,0.495,0.53,0.488,0.213,0.083,0.085,0.085,0.085,0.085
8:29:10,37,1.164,0.55,0.2,0.252,0.659,0.107,0.085,0.084,0.086,0.083,1.035,0.412,0.095,0.131,0.601,1.006,1.025,1.046,0.871,1.011,0.107,0.099,0.111,0.101,0.098,0.438,0.482,0.426,0.407,0.408,0.084,0.086,0.085,0.085,0.084,0.532,0.504,0.538,0.497,0.233,0.083,0.085,0.085,0.085,0.085
8:39:10,37,1.165,0.551,0.202,0.258,0.659,0.135,0.085,0.084,0.086,0.083,1.037,0.414,0.096,0.135,0.608,1.014,1.031,1.059,0.887,1.025,0.096,0.099,0.11,0.1,0.098,0.443,0.486,0.432,0.414,0.415,0.084,0.086,0.085,0.084,0.084,0.537,0.511,0.546,0.507,0.255,0.083,0.085,0.085,0.085,0.085
8:49:10,37,1.164,0.552,0.203,0.257,0.658,0.107,0.085,0.084,0.086,0.083,1.039,0.417,0.098,0.139,0.612,1.028,1.041,1.086,0.901,1.033,0.096,0.099,0.11,0.102,0.098,0.448,0.491,0.439,0.419,0.423,0.084,0.086,0.085,0.084,0.084,0.544,0.517,0.553,0.515,0.278,0.083,0.085,0.084,0.085,0.085
8:59:10,37.1,1.166,0.551,0.201,0.261,0.659,0.107,0.085,0.084,0.086,0.083,1.042,0.42,0.1,0.143,0.616,1.053,1.068,1.091,0.914,1.054,0.097,0.098,0.11,0.102,0.097,0.452,0.494,0.446,0.425,0.429,0.084,0.086,0.085,0.085,0.084,0.55,0.524,0.562,0.521,0.301,0.083,0.085,0.084,0.085,0.085
9:09:10,37,1.164,0.552,0.203,0.268,0.658,0.106,0.085,0.084,0.086,0.083,1.046,0.422,0.101,0.147,0.617,1.054,1.072,1.091,0.925,1.071,0.101,0.098,0.11,0.103,0.098,0.457,0.497,0.452,0.43,0.434,0.084,0.086,0.085,0.084,0.084,0.555,0.529,0.567,0.528,0.323,0.083,0.085,0.085,0.085,0.085
9:19:10,37,1.163,0.552,0.209,0.263,0.657,0.107,0.085,0.084,0.086,0.083,1.047,0.425,0.103,0.152,0.618,1.052,1.071,1.089,0.935,1.074,0.106,0.099,0.109,0.102,0.097,0.461,0.499,0.456,0.434,0.438,0.084,0.086,0.085,0.085,0.084,0.559,0.532,0.572,0.533,0.343,0.083,0.085,0.085,0.085,0.085
9:29:10,37,1.161,0.553,0.205,0.265,0.657,0.108,0.085,0.084,0.086,0.083,1.049,0.429,0.105,0.156,0.62,1.05,1.067,1.091,0.945,1.073,0.105,0.099,0.11,0.1,0.105,0.464,0.5,0.462,0.437,0.443,0.084,0.086,0.085,0.084,0.084,0.566,0.536,0.579,0.539,0.361,0.083,0.085,0.085,0.085,0.085
9:39:10,37,1.161,0.554,0.211,0.269,0.655,0.108,0.085,0.084,0.086,0.084,1.052,0.432,0.107,0.161,0.62,1.049,1.066,1.096,0.959,1.073,0.103,0.1,0.109,0.101,0.125,0.467,0.505,0.466,0.441,0.447,0.084,0.086,0.085,0.085,0.084,0.572,0.541,0.586,0.543,0.38,0.083,0.085,0.085,0.085,0.085
9:49:10,37,1.166,0.554,0.212,0.273,0.655,0.107,0.085,0.084,0.086,0.083,1.055,0.433,0.11,0.165,0.622,1.051,1.068,1.101,0.964,1.071,0.105,0.098,0.11,0.102,0.128,0.471,0.51,0.471,0.446,0.452,0.084,0.086,0.085,0.085,0.084,0.578,0.545,0.591,0.548,0.397,0.083,0.085,0.085,0.085,0.085
9:59:10,37,1.167,0.555,0.211,0.272,0.653,0.109,0.085,0.084,0.086,0.083,1.057,0.436,0.112,0.169,0.622,1.055,1.071,1.106,0.973,1.067,0.098,0.097,0.11,0.104,0.129,0.471,0.513,0.477,0.449,0.455,0.084,0.086,0.085,0.084,0.084,0.582,0.55,0.596,0.552,0.41,0.083,0.085,0.085,0.085,0.085
10:09:10,37,1.165,0.556,0.213,0.275,0.652,0.108,0.085,0.084,0.086,0.083,1.06,0.438,0.115,0.173,0.622,1.063,1.08,1.11,0.997,1.068,0.1,0.097,0.109,0.103,0.13,0.474,0.517,0.477,0.448,0.459,0.084,0.086,0.085,0.085,0.084,0.589,0.555,0.602,0.557,0.428,0.083,0.085,0.085,0.085,0.085
10:19:10,37,1.162,0.556,0.215,0.281,0.652,0.108,0.085,0.084,0.086,0.084,1.063,0.44,0.117,0.178,0.623,1.063,1.081,1.113,1.008,1.067,0.099,0.097,0.109,0.103,0.129,0.475,0.522,0.482,0.455,0.463,0.084,0.086,0.085,0.085,0.084,0.592,0.56,0.606,0.562,0.441,0.083,0.085,0.085,0.085,0.085
10:29:10,37,1.159,0.556,0.215,0.275,0.651,0.11,0.085,0.084,0.086,0.084,1.064,0.441,0.12,0.182,0.624,1.064,1.081,1.118,1.007,1.068,0.105,0.098,0.11,0.101,0.113,0.476,0.528,0.485,0.458,0.467,0.084,0.086,0.085,0.084,0.084,0.598,0.565,0.612,0.566,0.456,0.083,0.085,0.085,0.085,0.085
10:39:10,37.1,1.156,0.558,0.213,0.277,0.651,0.106,0.085,0.084,0.086,0.083,1.068,0.442,0.123,0.186,0.625,1.063,1.082,1.125,1.006,1.068,0.101,0.097,0.109,0.102,0.11,0.48,0.541,0.486,0.459,0.47,0.084,0.086,0.085,0.085,0.084,0.602,0.571,0.615,0.57,0.467,0.083,0.085,0.085,0.085,0.085
10:49:10,37,1.151,0.561,0.216,0.279,0.65,0.104,0.085,0.084,0.086,0.084,1.07,0.445,0.126,0.191,0.625,1.065,1.086,1.129,1.002,1.069,0.102,0.096,0.109,0.102,0.127,0.479,0.536,0.487,0.462,0.473,0.084,0.086,0.085,0.085,0.084,0.606,0.577,0.619,0.575,0.48,0.083,0.085,0.085,0.085,0.085
10:59:10,37.1,1.148,0.564,0.222,0.286,0.65,0.107,0.085,0.084,0.086,0.084,1.073,0.447,0.129,0.195,0.625,1.071,1.092,1.133,0.996,1.071,0.107,0.097,0.109,0.104,0.12,0.482,0.543,0.492,0.463,0.476,0.084,0.086,0.085,0.085,0.084,0.61,0.581,0.62,0.58,0.488,0.083,0.085,0.085,0.085,0.085
11:09:10,37,1.142,0.564,0.22,0.282,0.65,0.109,0.085,0.084,0.086,0.083,1.073,0.449,0.132,0.199,0.627,1.07,1.095,1.133,0.99,1.072,0.103,0.097,0.109,0.107,0.128,0.488,0.542,0.495,0.463,0.476,0.084,0.086,0.085,0.084,0.084,0.612,0.585,0.624,0.586,0.502,0.083,0.085,0.085,0.085,0.085
11:19:10,37,1.14,0.565,0.221,0.283,0.649,0.107,0.085,0.084,0.086,0.084,1.077,0.451,0.135,0.203,0.627,1.076,1.099,1.139,0.987,1.078,0.104,0.098,0.109,0.101,0.127,0.487,0.559,0.497,0.466,0.479,0.084,0.086,0.086,0.085,0.084,0.618,0.591,0.629,0.589,0.517,0.083,0.085,0.085,0.085,0.085
11:29:10,37,1.136,0.566,0.221,0.286,0.649,0.106,0.085,0.084,0.086,0.083,1.079,0.453,0.138,0.206,0.627,1.077,1.1,1.142,0.98,1.077,0.101,0.096,0.109,0.099,0.129,0.489,0.561,0.5,0.467,0.479,0.084,0.086,0.085,0.084,0.084,0.622,0.593,0.631,0.592,0.523,0.083,0.085,0.085,0.085,0.085
11:39:10,37.1,1.131,0.566,0.226,0.29,0.648,0.129,0.085,0.084,0.086,0.084,1.08,0.453,0.141,0.209,0.628,1.079,1.102,1.146,0.978,1.079,0.102,0.096,0.109,0.099,0.133,0.497,0.56,0.503,0.469,0.479,0.084,0.086,0.085,0.085,0.084,0.626,0.598,0.633,0.597,0.53,0.083,0.085,0.085,0.085,0.085
11:49:10,37.1,1.129,0.566,0.222,0.286,0.648,0.106,0.085,0.084,0.086,0.084,1.084,0.455,0.144,0.212,0.633,1.081,1.106,1.151,0.978,1.082,0.105,0.097,0.108,0.1,0.139,0.495,0.562,0.507,0.471,0.481,0.084,0.086,0.085,0.085,0.084,0.63,0.603,0.639,0.602,0.539,0.083,0.085,0.085,0.085,0.085
11:59:10,37.1,1.125,0.566,0.225,0.287,0.649,0.106,0.085,0.084,0.086,0.084,1.086,0.457,0.147,0.216,0.644,1.084,1.11,1.155,0.973,1.085,0.104,0.097,0.108,0.099,0.132,0.498,0.561,0.509,0.473,0.482,0.084,0.086,0.085,0.085,0.084,0.635,0.607,0.641,0.606,0.542,0.083,0.085,0.085,0.085,0.085
